AVG_TOTAL_DEMAND,AVG_FRAC_COST,AVG_INT_COST,AVG_FLOW,STD_TOTAL_DEMAND,STD_FRAC_COST,STD_INT_COST,STD_FLOW
5.6,6516.09274286,6516.09274286,5.6,0.64,11598373.4444,11598373.4444,0.64
4.8,7887.3400381,7887.3400381,4.8,4.16,59187795.5592,59187795.5592,4.16
14.4,7526.28138309,7526.28138309,14.4,34.64,28525891.4628,28525891.4628,34.64
20.8,8329.202728,8329.202728,20.8,87.76,5387373.03924,5387373.03924,87.76
32.8,8830.0499521,8830.0499521,32.8,106.56,46886977.7753,46886977.7753,106.56
48.2,8078.13108405,8078.13108405,48.2,75.76,9831346.9474,9831346.9474,75.76
67.2,5668.31423346,5668.31423346,67.2,496.56,2016398.35192,2016398.35192,496.56
98.2,6765.89940241,6765.89940241,98.2,810.16,6344818.92861,6344818.92861,810.16
130.8,6275.04969697,6275.04969697,130.8,2269.36,3326365.19455,3326365.19455,2269.36
204.6,6462.94077562,6462.94077562,204.6,3265.84,1582815.81025,1582815.81025,3265.84
298.8,6192.55106876,6192.55106876,298.8,8158.16,1793149.34294,1793149.34294,8158.16
441.2,6402.7069867,6402.7069867,441.2,12892.96,1563777.08012,1563777.08012,12892.96
661.0,5911.73960137,5911.73960137,661.0,33708.4,862489.774703,862489.774703,33708.4
980.6,5899.58679481,5905.60238337,980.6,72901.04,1351129.60008,1335485.76439,72901.04
543.8,5708.46124068,5713.70714513,543.8,20059.36,886609.769892,900907.022777,20059.36
706.6,5682.8128328,5682.8128328,706.6,39661.84,249482.722091,249482.722091,39661.84
750.8,5329.44592103,5336.78809134,750.8,36795.76,832893.707361,815479.069985,36795.76
697.2,5316.97132584,5321.10673364,697.2,31078.16,808129.889088,818273.165624,31078.16
494.2,5255.10871194,5255.10871194,494.2,18032.96,1441213.67874,1441213.67874,18032.96
482.4,5279.20835298,5279.20835298,482.4,15849.84,422142.64275,422142.64275,15849.84
462.2,5226.13170779,5226.13170779,462.2,14068.56,1063725.805,1063725.805,14068.56
401.0,4900.56678907,4900.56678907,401.0,10270.0,814428.95487,814428.95487,10270.0
350.2,4850.22499601,4850.22499601,350.2,8130.96,363972.743399,363972.743399,8130.96
324.8,4697.94899287,4697.94899287,324.8,7226.96,334375.522148,334375.522148,7226.96
274.4,4746.23568865,4746.23568865,274.4,6381.04,473100.906255,473100.906255,6381.04
266.2,4626.74507892,4626.74507892,266.2,5746.56,219625.393604,219625.393604,5746.56
221.2,4548.90199276,4548.90199276,221.2,3308.96,254177.302834,254177.302834,3308.96
188.8,4776.95434819,4776.95434819,188.8,2001.76,63524.9328934,63524.9328934,2001.76
178.2,4544.40485984,4544.40485984,178.2,2782.96,137636.620585,137636.620585,2782.96
152.4,4708.95142909,4708.95142909,152.4,916.24,1346981.90585,1346981.90585,916.24
148.4,4311.94567672,4311.94567672,148.4,1463.04,1708202.18538,1708202.18538,1463.04
56.0,5073.3417133,5073.3417133,56.0,287.2,2147410.57827,2147410.57827,287.2
